tag_id,name,category,count,right_tag_cn,game
1839475,chips_(food),0,3723,chips_(food),food
1257906,elsa_(frozen),4,1454,elsa_(frozen),frozen
407968,lime_(fruit),0,738,lime_(fruit),fruit
729551,kiwi_(fruit),0,1001,kiwi_(fruit),fruit
496288,orange_(fruit),0,5708,orange_(fruit),fruit
1560134,morpeko_(full),4,1728,morpeko_(full),full
1594464,bloop_(gawr_gura),4,1678,bloop_(gawr_gura),gawr_gura
1456824,nekomusume_(gegege_no_kitarou_6),4,972,nekomusume_(gegege_no_kitarou_6),gegege_no_kitarou_6
602257,konpaku_youmu_(ghost),4,18383,konpaku_youmu_(ghost),ghost
404724,kagura_(gintama),4,1567,kagura_(gintama),gintama
1667152,m4_sopmod_ii_(girls'_frontline),4,1450,m4_sopmod_ii_(girls'_frontline),girls'_frontline
1672711,suomi_(girls'_frontline),4,938,suomi_(girls'_frontline),girls'_frontline
1672682,type_95_(girls'_frontline),4,946,type_95_(girls'_frontline),girls'_frontline
1670077,springfield_(girls'_frontline),4,2070,springfield_(girls'_frontline),girls'_frontline
1667232,rpk-16_(girls'_frontline),4,857,rpk-16_(girls'_frontline),girls'_frontline
1667213,m200_(girls'_frontline),4,1165,m200_(girls'_frontline),girls'_frontline
1667205,9a-91_(girls'_frontline),4,688,9a-91_(girls'_frontline),girls'_frontline
1667171,g36_(girls'_frontline),4,864,g36_(girls'_frontline),girls'_frontline
1667169,negev_(girls'_frontline),4,711,negev_(girls'_frontline),girls'_frontline
1667154,an-94_(girls'_frontline),4,1552,an-94_(girls'_frontline),girls'_frontline
1667168,dinergate_(girls'_frontline),4,865,dinergate_(girls'_frontline),girls'_frontline
1667166,ro635_(girls'_frontline),4,1036,ro635_(girls'_frontline),girls'_frontline
1667202,kalina_(girls'_frontline),4,847,kalina_(girls'_frontline),girls'_frontline
1667133,hk416_(girls'_frontline),4,4872,hk416_(girls'_frontline),girls'_frontline
1667150,st_ar-15_(girls'_frontline),4,1398,st_ar-15_(girls'_frontline),girls'_frontline
1667148,m4a1_(girls'_frontline),4,1551,m4a1_(girls'_frontline),girls'_frontline
1667146,g11_(girls'_frontline),4,1464,g11_(girls'_frontline),girls'_frontline
1667157,m16a1_(girls'_frontline),4,1407,m16a1_(girls'_frontline),girls'_frontline
1667140,ump9_(girls'_frontline),4,2239,ump9_(girls'_frontline),girls'_frontline
1667145,ak-12_(girls'_frontline),4,1915,ak-12_(girls'_frontline),girls'_frontline
1667138,wa2000_(girls'_frontline),4,2565,wa2000_(girls'_frontline),girls'_frontline
1667164,g41_(girls'_frontline),4,698,g41_(girls'_frontline),girls'_frontline
1667136,ump45_(girls'_frontline),4,3266,ump45_(girls'_frontline),girls'_frontline
1667163,commander_(girls'_frontline),4,1543,commander_(girls'_frontline),girls'_frontline
1281007,erwin_(girls_und_panzer),4,681,erwin_(girls_und_panzer),girls_und_panzer
1542251,orange_pekoe_(girls_und_panzer),4,1908,orange_pekoe_(girls_und_panzer),girls_und_panzer
1281005,naomi_(girls_und_panzer),4,748,naomi_(girls_und_panzer),girls_und_panzer
1489783,carpaccio_(girls_und_panzer),4,1135,carpaccio_(girls_und_panzer),girls_und_panzer
1337527,mika_(girls_und_panzer),4,2671,mika_(girls_und_panzer),girls_und_panzer
1337529,mikko_(girls_und_panzer),4,821,mikko_(girls_und_panzer),girls_und_panzer
1542253,rosehip_(girls_und_panzer),4,1680,rosehip_(girls_und_panzer),girls_und_panzer
1183449,nonna_(girls_und_panzer),4,2167,nonna_(girls_und_panzer),girls_und_panzer
1372463,darjeeling_(girls_und_panzer),4,5772,darjeeling_(girls_und_panzer),girls_und_panzer
1257062,pepperoni_(girls_und_panzer),4,1796,pepperoni_(girls_und_panzer),girls_und_panzer
1442807,marie_(girls_und_panzer),4,1269,marie_(girls_und_panzer),girls_und_panzer
1447804,oshida_(girls_und_panzer),4,1635,oshida_(girls_und_panzer),girls_und_panzer
